photo_id,face_id,embedding,bbox,album_id,source_url
457248880,1,"[-0.13949555158615112, 0.03338555246591568, 0.06958188861608505, -0.10593666881322861, -0.12521594762802124, -0.04273074120283127, -0.09188970923423767, -0.11962774395942688, 0.10832222551107407, -0.10785029828548431, 0.1596609354019165, -0.05850011482834816, -0.2321532964706421, -0.10683927685022354, -0.06150316447019577, 0.17708627879619598, -0.08094915002584457, -0.17260371148586273, -0.0005991753423586488, -0.04498203471302986, 0.09738359600305557, 0.05152655020356178, -0.0010212514316663146, 0.029391517862677574, -0.11175861209630966, -0.29255133867263794, -0.08518676459789276, -0.051035571843385696, -0.05826742574572563, 0.002587418770417571, -0.10667348653078079, 0.030787134543061256, -0.18252676725387573, -0.05929702892899513, 0.0935923308134079, 0.12960368394851685, -0.010048752650618553, -0.059511709958314896, 0.1623474508523941, 0.06515059620141983, -0.22560878098011017, -0.02538881078362465, 0.07940947264432907, 0.21122607588768005, 0.15037767589092255, 0.018991338089108467, -0.003871830413118005, -0.12814931571483612, 0.13542349636554718, -0.21139921247959137, 0.0794692188501358, 0.15244054794311523, 0.13273459672927856, 0.016460783779621124, 0.0536251962184906, -0.1337108016014099, 0.0623069629073143, 0.11748066544532776, -0.14041613042354584, 0.019877631217241287, 0.06485036015510559, -0.09760768711566925, -0.1340453177690506, -0.08741938322782516, 0.15947528183460236, 0.13198049366474152, -0.10683667659759521, -0.1894414871931076, 0.10246536135673523, -0.12154603749513626, -0.14203643798828125, 0.04729790985584259, -0.14932206273078918, -0.15773098170757294, -0.3331282436847687, -0.008681494742631912, 0.3444186747074127, 0.14197319746017456, -0.28530827164649963, 0.0407542958855629, 0.01603434421122074, 0.08655095100402832, 0.18006518483161926, 0.13094860315322876, -0.05700360983610153, 0.098480224609375, -0.08526154607534409, -0.04534347727894783, 0.16737009584903717, -0.06766953319311142, -0.06833966821432114, 0.2051348239183426, 0.0366026870906353, 0.14937438070774078, 0.0821557566523552, 0.03472815081477165, -0.017540421336889267, -0.046024639159440994, -0.1792980134487152, -0.06662311404943466, 0.11231937259435654, -0.01497810147702694, -0.002557654632255435, 0.114399254322052, -0.18848751485347748, 0.08058175444602966, -0.00333092687651515, -0.010255205444991589, -0.019265517592430115, -0.047163285315036774, -0.0843217670917511, -0.03996259719133377, 0.08102497458457947, -0.17826023697853088, 0.14539524912834167, 0.19140185415744781, 0.011281193234026432, 0.12113343179225922, 0.1853998452425003, 0.0075437454506754875, 0.01238099206238985, -0.042245011776685715, -0.13669122755527496, -0.07658529281616211, 0.11112514138221741, 9.333786874776706e-05, 0.08110087364912033, -0.002060916041955352]","(429, 134, 36, 36)",images,
457248880,2,"[-0.12043344974517822, 0.11030378937721252, 0.05812525749206543, -0.042175788432359695, -0.06860890239477158, 0.04713451489806175, -0.12923778593540192, -0.10897356271743774, 0.1201481819152832, -0.11116313934326172, 0.2008160501718521, -0.02806825563311577, -0.20217454433441162, -0.008037067949771881, 0.003939441405236721, 0.1464538872241974, -0.16681700944900513, -0.1242709532380104, -0.06289336085319519, -0.07350962609052658, 0.018271271139383316, 0.06344228982925415, 0.018792057409882545, 0.05781541019678116, -0.18807187676429749, -0.39998698234558105, -0.07911035418510437, -0.05729030445218086, 0.02488524094223976, 0.0064383200369775295, -0.0055968123488128185, 0.05314745381474495, -0.1832572966814041, 0.05007276311516762, 0.09567631781101227, 0.0659204050898552, -0.06467647850513458, 0.0038772367406636477, 0.23051410913467407, 0.08755236119031906, -0.1850728988647461, 0.055824995040893555, 0.036115389317274094, 0.25205016136169434, 0.13363440334796906, 0.061992794275283813, 0.04337063804268837, -0.11632037907838821, 0.22758348286151886, -0.22389265894889832, 0.04287757724523544, 0.25024446845054626, 0.12225861847400665, 0.05647287517786026, 0.05568552389740944, -0.1073673740029335, 0.04711170122027397, 0.147293820977211, -0.20434530079364777, 0.07020717859268188, 0.07787907123565674, -0.07810168713331223, -0.04337051510810852, -0.07682211697101593, 0.13132861256599426, 0.08263413608074188, -0.14991186559200287, -0.19127710163593292, 0.13733290135860443, -0.08915619552135468, -0.057036805897951126, 0.07767733931541443, -0.1245339885354042, -0.22771744430065155, -0.3241410255432129, 0.05654066428542137, 0.37785765528678894, 0.11776037514209747, -0.1823989450931549, 0.0006078400765545666, -0.030716169625520706, -0.050984013825654984, 0.02339942194521427, 0.07151536643505096, -0.12731947004795074, -0.10511670261621475, -0.053697530180215836, -0.01054190844297409, 0.24712200462818146, 0.009558513760566711, 0.005128736607730389, 0.20293709635734558, 0.02753695473074913, 0.08472871780395508, -0.022869445383548737, 0.0996590405702591, -0.20103752613067627, -0.04180322587490082, -0.13385602831840515, -0.001059825997799635, -0.08666929602622986, -0.03412294015288353, -0.021708378568291664, 0.10737306624650955, -0.24932383000850677, 0.2813972234725952, -0.022892050445079803, -0.07201610505580902, -0.05044916644692421, 0.05836929380893707, -0.15124277770519257, -0.02096441201865673, 0.10883843153715134, -0.25420311093330383, 0.16871239244937897, 0.19547200202941895, 0.13603655993938446, 0.14723044633865356, 0.1299607753753662, 0.011254070326685905, -0.03539806604385376, 0.028920412063598633, -0.1958862692117691, -0.17101213335990906, 0.06744970381259918, -0.06571216136217117, -0.04115288704633713, -0.011913804337382317]","(269, 142, 36, 36)",images,
457248880,3,"[-0.05840031057596207, -0.006049819756299257, 0.03157614916563034, -0.07251220941543579, -0.08385004848241806, -0.08289184421300888, 0.0004796074645128101, -0.07710599154233932, 0.14271439611911774, -0.04287192225456238, 0.20407460629940033, -0.056205786764621735, -0.16057267785072327, -0.07937300205230713, 0.017573675140738487, 0.1393977701663971, -0.182959645986557, -0.13232339918613434, -0.03699566796422005, -0.035868171602487564, 0.07879402488470078, 0.08180731534957886, -0.0034562067594379187, 0.1369350403547287, -0.16782325506210327, -0.3458205461502075, -0.09333248436450958, -0.12860701978206635, 0.0435948520898819, -0.07042199373245239, -0.020545007660984993, 0.08794163912534714, -0.1835712194442749, -0.038101550191640854, 0.07284597307443619, 0.08621775358915329, -0.104997918009758, -0.06926079839468002, 0.23166997730731964, 0.12821516394615173, -0.19132232666015625, 0.01508377119898796, -0.05484098941087723, 0.28778359293937683, 0.12824372947216034, 0.022941026836633682, 0.028138451278209686, -0.019521644338965416, 0.12169961631298065, -0.24577026069164276, 0.06965089589357376, 0.17297811806201935, 0.12718309462070465, 0.06773705035448074, 0.02899763733148575, -0.0973764955997467, 0.06056435778737068, 0.16606637835502625, -0.35789403319358826, 0.11244197934865952, 0.015914173796772957, -0.16567035019397736, 0.03302191197872162, -0.011136200278997421, 0.1333238184452057, 0.11362132430076599, -0.07286795228719711, -0.1376122087240219, 0.11906146258115768, -0.20216043293476105, -0.09893941879272461, 0.06568760424852371, -0.10605368763208389, -0.22546419501304626, -0.33621612191200256, 0.012283782474696636, 0.355727881193161, 0.14891234040260315, -0.19594496488571167, -0.003777282079681754, 0.00015805292059667408, -0.03842601925134659, 0.12836912274360657, 0.06561506539583206, -0.06432461738586426, 0.0068156043998897076, -0.09608081728219986, 0.013220681808888912, 0.1830367147922516, -0.014472946524620056, -0.06399131566286087, 0.2635834813117981, -0.007616871036589146, 0.05559462681412697, 0.059735462069511414, -0.011207972653210163, -0.02788715995848179, -0.0034892093390226364, -0.04851537197828293, 0.020831244066357613, -0.02537354826927185, -0.07042969763278961, 0.009196482598781586, 0.08098816126585007, -0.1879783421754837, 0.16688679158687592, -0.009798292070627213, -0.0778297707438469, -0.0991082489490509, 0.003225251566618681, -0.1823551505804062, -0.06149108335375786, 0.13775065541267395, -0.2755827307701111, 0.21291431784629822, 0.23827819526195526, 0.07008446753025055, 0.14813508093357086, 0.002856877166777849, -0.046345412731170654, -0.03919089585542679, -0.08434902131557465, -0.15200325846672058, -0.04004564508795738, 0.12035563588142395, 0.0076129864901304245, 0.06781655550003052, 0.008344504982233047]","(117, 126, 36, 36)",images,
457248880,4,"[-0.1012922152876854, 0.07465053349733353, 0.07793935388326645, 0.03843885660171509, -0.15481191873550415, 0.029413266107439995, -0.0019010299583896995, -0.13736499845981598, 0.13765692710876465, -0.047121312469244, 0.22612792253494263, -0.0100946556776762, -0.3212352395057678, 0.012389423325657845, -0.0556180514395237, 0.13520210981369019, -0.16305434703826904, -0.15996159613132477, -0.057282883673906326, -0.04811742529273033, 0.008769559673964977, 0.05475758761167526, 0.11309946328401566, 0.048456545919179916, -0.16134889423847198, -0.4097961187362671, -0.06537677347660065, -0.10263622552156448, 0.1065855473279953, -0.03209428861737251, -0.036761324852705, 0.11915439367294312, -0.15842749178409576, -0.0023708585649728775, 0.04962645843625069, 0.0845852717757225, -0.10903012752532959, -0.06566343456506729, 0.2674260437488556, 0.020260028541088104, -0.23432329297065735, 0.005774185061454773, 0.02248021587729454, 0.28764480352401733, 0.16567294299602509, 0.09155019372701645, 0.07965169847011566, -0.10357766598463058, 0.06603118777275085, -0.3200887441635132, 0.10440398752689362, 0.22742320597171783, 0.044736120849847794, 0.02717949077486992, 0.005927229765802622, -0.22477906942367554, -0.017608586698770523, 0.15152281522750854, -0.24873632192611694, 0.08510904759168625, 0.09149226546287537, -0.05358753725886345, 0.020759673789143562, -0.024792863056063652, 0.18676160275936127, 0.1499156355857849, -0.09582366794347763, -0.10632944107055664, 0.17008426785469055, -0.22278796136379242, -0.023660384118556976, 0.0693846046924591, -0.1505427360534668, -0.24894382059574127, -0.26314976811408997, 0.0340055376291275, 0.41033196449279785, 0.13991793990135193, -0.04738474264740944, 0.01663784682750702, -0.010290074162185192, 0.0065787737257778645, 0.06535495817661285, 0.06885997205972672, -0.1531948298215866, -0.06659036874771118, -0.12693753838539124, 0.04478282481431961, 0.20169799029827118, -0.03314029797911644, -0.019507495686411858, 0.26495885848999023, 0.0296580009162426, 0.005935387685894966, 0.06231946870684624, 0.10451529175043106, -0.11108466982841492, 0.006935393903404474, -0.15818336606025696, 0.0022941974457353354, -0.004949264694005251, -0.05055396258831024, 0.06280580163002014, 0.09600697457790375, -0.17728100717067719, 0.11948535591363907, -0.0755893811583519, -0.047484107315540314, 0.01317288912832737, -0.07045628875494003, -0.12084320187568665, -0.05960546433925629, 0.17652606964111328, -0.2485562115907669, 0.20680120587348938, 0.21087349951267242, 0.05564847216010094, 0.17246392369270325, 0.10695873200893402, 0.028634538874030113, 0.01411694660782814, -0.04628680273890495, -0.19641952216625214, -0.047229088842868805, 0.10929623246192932, -0.0742555782198906, 0.015520408749580383, 0.02805480547249317]","(161, 154, 36, 36)",images,
457248880,5,"[-0.082267165184021, 0.02796030044555664, 0.10229676961898804, -0.09217086434364319, -0.04376330226659775, -0.0422707237303257, 0.00023907222202979028, -0.09752988070249557, 0.10330363363027573, -0.11793550103902817, 0.23396405577659607, -0.08383923768997192, -0.1819779872894287, -0.044554948806762695, 0.007888361811637878, 0.09820160269737244, -0.13068506121635437, -0.12844642996788025, -0.14684118330478668, -0.033525124192237854, 0.04248868301510811, 0.0524459034204483, -0.03887498751282692, 0.039128199219703674, -0.10883494466543198, -0.3542042374610901, -0.05070303753018379, -0.08515473455190659, -0.06392811983823776, 0.03130088374018669, 0.05299484729766846, 0.07908740639686584, -0.14056362211704254, -0.037331774830818176, 0.003638356924057007, -0.006648218724876642, -0.1256323754787445, -0.08435293287038803, 0.25665363669395447, 0.03645254299044609, -0.2295062094926834, 0.039686355739831924, 0.026510795578360558, 0.23051635921001434, 0.18256309628486633, 0.021644003689289093, 0.05771447345614433, -0.09495606273412704, 0.18958544731140137, -0.28557002544403076, 0.026042837649583817, 0.20811380445957184, 0.10931408405303955, 0.0744435042142868, 0.05662911385297775, -0.13545332849025726, 0.05377861484885216, 0.1133432388305664, -0.2470979392528534, 0.06205514818429947, 0.025961466133594513, -0.13477657735347748, -0.005211705807596445, -0.049152497202157974, 0.1488867551088333, 0.1551460325717926, -0.08335641026496887, -0.1721470057964325, 0.2309015691280365, -0.09638161957263947, -0.10490555316209793, 0.07232697308063507, -0.15866221487522125, -0.21520937979221344, -0.24867169559001923, 0.03841886669397354, 0.35076624155044556, 0.04704294353723526, -0.18176403641700745, -0.01493691187351942, -0.10746622830629349, -0.019284453243017197, 0.08482332527637482, 0.057320114225149155, -0.019779523834586143, -0.1559954285621643, -0.06810998171567917, -0.04152496159076691, 0.24813280999660492, -0.04915952682495117, -0.08792629837989807, 0.18668118119239807, 0.03428112342953682, -0.06369388103485107, 0.05362780764698982, 0.06308253854513168, -0.11106318235397339, 0.08285122364759445, -0.14021268486976624, 0.05707022175192833, 0.035853758454322815, -0.0682888776063919, -0.02404000237584114, 0.08096714317798615, -0.20123405754566193, 0.25148138403892517, -0.026544153690338135, -0.032728731632232666, -0.016577810049057007, -0.08016924560070038, -0.10034506767988205, 0.028495045378804207, 0.14018858969211578, -0.18687939643859863, 0.23533526062965393, 0.12785650789737701, 0.09265211969614029, 0.18393710255622864, 0.06966695934534073, 0.019582662731409073, -0.01202044915407896, -0.018212441354990005, -0.24969224631786346, -0.12835386395454407, 0.07930204272270203, 0.0773632824420929, 0.004478637129068375, 0.05097827687859535]","(321, 122, 36, 36)",images,
457248880,6,"[-0.10467655956745148, 0.08354668319225311, 0.07056509703397751, -0.09573381394147873, -0.06544611603021622, 0.01731850579380989, 0.01808786951005459, -0.13333982229232788, 0.17280609905719757, -0.13571013510227203, 0.2417154759168625, -0.08471477031707764, -0.23398110270500183, -0.028757300227880478, -0.016209181398153305, 0.24448981881141663, -0.12849870324134827, -0.15995781123638153, -0.04832138121128082, -0.036530107259750366, 0.10033535212278366, 0.029376516118645668, 0.061477795243263245, 0.15638013184070587, -0.12250169366598129, -0.409537136554718, -0.08750604093074799, -0.08815532177686691, -0.15102162957191467, -0.005530589260160923, 0.047587618231773376, 0.12429949641227722, -0.14379407465457916, 0.008462106809020042, 0.02895165979862213, 0.08933612704277039, -0.0108937444165349, -0.1346396654844284, 0.19563351571559906, 0.04030666872859001, -0.34019073843955994, -0.007550688926130533, 0.1558830291032791, 0.241498664021492, 0.18686355650424957, -0.049766167998313904, 0.003966015297919512, 0.018765756860375404, 0.1688043177127838, -0.2946191430091858, 0.0479702465236187, 0.09155207872390747, 0.14854435622692108, 0.03446323052048683, 0.09056877344846725, -0.0930965393781662, 0.04875759780406952, 0.10217145085334778, -0.23538942635059357, -0.023865899071097374, 0.07175600528717041, -0.11150296032428741, 0.02510303072631359, -0.11134878545999527, 0.13471142947673798, 0.17522947490215302, -0.14684008061885834, -0.09140187501907349, 0.11236818879842758, -0.1454252451658249, -0.0468483492732048, 0.09771225601434708, -0.18500661849975586, -0.2667647898197174, -0.250640869140625, 0.045099079608917236, 0.39166542887687683, 0.19700606167316437, -0.12179913371801376, 0.019996751099824905, 0.03062007576227188, 0.01588268391788006, -0.02573624812066555, 0.18702423572540283, 0.00830194354057312, 0.07579632848501205, -0.05610106512904167, 0.020261894911527634, 0.16488929092884064, 0.007209782488644123, -0.05892809107899666, 0.40071433782577515, -0.06623172760009766, 0.010621964000165462, 0.03270348906517029, 0.09984526038169861, -0.0780455470085144, 0.020206652581691742, -0.14923563599586487, 0.006504688877612352, -0.05322816222906113, -0.04802333936095238, 0.00010658428072929382, 0.020012689754366875, -0.2522866725921631, 0.161275252699852, -0.11071053147315979, 0.04735598340630531, -0.04468025267124176, 0.02113933116197586, -0.06491255015134811, 0.02575300633907318, 0.10234540700912476, -0.19398133456707, 0.03965296596288681, 0.12824802100658417, 0.013338349759578705, 0.1564464569091797, 0.08579573035240173, 0.044883519411087036, 0.030408699065446854, -0.12250198423862457, -0.19865837693214417, -0.06826700270175934, 0.14010171592235565, -0.059349991381168365, 0.07163238525390625, 0.030675260350108147]","(241, 178, 36, 36)",images,
457248658,7,"[-0.015966130420565605, 0.01761174388229847, 0.030251363292336464, -0.01733696088194847, -0.12030957639217377, 0.05216598138213158, -0.08080381900072098, -0.04044215753674507, 0.07607246190309525, -0.0809888243675232, 0.18819156289100647, -0.1206800565123558, -0.301633358001709, -0.05480385571718216, -0.0009817259851843119, 0.1047845110297203, -0.010523725301027298, -0.11511607468128204, -0.034419815987348557, -0.07888766378164291, 0.0490889810025692, -0.013671300373971462, -0.005340335424989462, 0.04914987459778786, -0.15146872401237488, -0.28308507800102234, -0.14015424251556396, -0.11349187046289444, -0.040386781096458435, -0.10759773850440979, -0.0037521792110055685, 0.06960388273000717, -0.1219678744673729, -0.024936912581324577, 0.02395349182188511, 0.07048676908016205, -0.14526456594467163, -0.08366312831640244, 0.1882779598236084, -0.026414163410663605, -0.09078463912010193, -0.059175070375204086, 0.04207148030400276, 0.21738606691360474, 0.1483340561389923, 0.04600798338651657, 0.07783728092908859, 0.04962753877043724, 0.082920141518116, -0.24640092253684998, 0.08382628858089447, 0.19988955557346344, 0.15428833663463593, 0.18830952048301697, 0.019370434805750847, -0.12320881336927414, 0.05886043608188629, 0.20379053056240082, -0.17119088768959045, 0.10160143673419952, 0.017285117879509926, -0.07090428471565247, -0.04771183803677559, 0.026042843237519264, 0.20615221560001373, 0.10171650350093842, -0.1117861270904541, -0.17022699117660522, 0.161831796169281, -0.14879125356674194, -0.043541308492422104, 0.1068519651889801, -0.2126266062259674, -0.23359720408916473, -0.15693369507789612, 0.11549777537584305, 0.3620160222053528, 0.11743596941232681, -0.1280314326286316, 0.02346956916153431, -0.02760360948741436, -0.00408709654584527, 0.012050474062561989, 0.0014255226124078035, 0.027738850563764572, -0.10893608629703522, -0.06865151226520538, 0.01881721429526806, 0.19626183807849884, -0.13998183608055115, -0.028265085071325302, 0.18047858774662018, 0.021351026371121407, 0.007208922412246466, 0.04171721264719963, 0.043840598315000534, 0.01620308682322502, 0.04570072516798973, -0.024462662637233734, 0.06502758711576462, 0.0216091126203537, -0.13997328281402588, -0.031150098890066147, -0.022914204746484756, -0.12581969797611237, 0.2094617336988449, 0.008058630861341953, 0.018831772729754448, -0.060367174446582794, -0.013428348116576672, -0.18848057091236115, -0.009671852923929691, 0.2084663063287735, -0.3209790885448456, 0.20342358946800232, 0.16910836100578308, 0.04050196334719658, 0.14492934942245483, 0.043857164680957794, 0.12859521806240082, 0.08986503630876541, -0.07985015213489532, -0.13621126115322113, -0.12727570533752441, 0.05575885623693466, 0.04887683689594269, -0.07916131615638733, 0.03222125768661499]","(254, 320, 74, 75)",images,
457248670,8,"[-0.08977096527814865, 0.03354262188076973, 0.017337393015623093, -0.07939332723617554, -0.1668422818183899, 0.025851719081401825, 0.06391861289739609, -0.09871310740709305, 0.16980333626270294, -0.08251779526472092, 0.2158437967300415, 0.009918170981109142, -0.3648700714111328, -0.09011054784059525, 0.0029217947740107775, 0.08898285776376724, -0.09671127051115036, -0.21933554112911224, -0.08475255966186523, -0.021558262407779694, -0.0016559858340770006, -0.008414430543780327, 0.024605631828308105, 0.07172443717718124, -0.12237999588251114, -0.4256207346916199, -0.051779549568891525, -0.014964566566050053, 0.004444750491529703, -0.07620922476053238, 0.029595699161291122, 0.08921557664871216, -0.1778966337442398, -0.0019382124301046133, 0.0015026770997792482, 0.08884076774120331, -0.06018586829304695, -0.061224304139614105, 0.21011580526828766, 0.03917594999074936, -0.2620755434036255, -0.018156126141548157, -0.005668967962265015, 0.2584604024887085, 0.22442054748535156, -0.029851553961634636, 0.06625872105360031, -0.07622404396533966, 0.1089925542473793, -0.28271785378456116, 0.06440596282482147, 0.19396503269672394, 0.18891340494155884, -0.026882728561758995, 0.01351271104067564, -0.12353254854679108, -0.05151810869574547, 0.22876574099063873, -0.23798196017742157, 0.04938797280192375, 0.09098358452320099, -0.10550443828105927, -0.029656747356057167, -0.09434154629707336, 0.11594701558351517, 0.05566878616809845, -0.16801388561725616, -0.12082897871732712, 0.1588275283575058, -0.21274419128894806, -0.06397949904203415, 0.040306057780981064, -0.1350531429052353, -0.26998788118362427, -0.296749085187912, 0.123784139752388, 0.41666948795318604, 0.22260825335979462, -0.13817360997200012, -0.018626803532242775, -0.05855439603328705, 0.04420889541506767, 0.026645837351679802, 0.06696087121963501, -0.100954569876194, -0.09574183076620102, -0.14584097266197205, 0.04446037858724594, 0.15612486004829407, 0.025347409769892693, -0.050035715103149414, 0.2173885554075241, 0.026291541755199432, 0.07770086079835892, 0.0015205210074782372, 0.0700514018535614, -0.08313899487257004, 0.07413670420646667, -0.12814447283744812, 0.07640815526247025, -0.08471478521823883, -0.0702294111251831, 0.07868963479995728, 0.07388647645711899, -0.11395423859357834, 0.18305744230747223, -0.028448857367038727, -0.012806492857635021, -0.0020022355020046234, -0.02591770701110363, -0.08695080131292343, -0.06625168770551682, 0.0912599042057991, -0.2965599298477173, 0.14735735952854156, 0.20382018387317657, 0.09913145750761032, 0.1814948171377182, 0.09932607412338257, 0.022095296531915665, 0.05973862111568451, -0.06323771923780441, -0.18127299845218658, -0.04582769423723221, 0.07069303840398788, -0.06594345718622208, 0.07770419865846634, 0.025027580559253693]","(212, 105, 75, 74)",images,
457248664,9,"[-0.013486888259649277, 0.011129600927233696, -0.005417610052973032, -0.06312214583158493, -0.0851447731256485, -0.07414788007736206, 0.04336335510015488, -0.12750087678432465, 0.06841851770877838, -0.05243290215730667, 0.2157191038131714, -0.13811497390270233, -0.25512146949768066, -0.10300901532173157, 0.04410030320286751, 0.05421619489789009, -0.07340135425329208, -0.06490316987037659, -0.05683772638440132, -0.04680386185646057, 0.07233089953660965, -0.004301425069570541, 0.02737627737224102, 0.04905073344707489, -0.1536417156457901, -0.23952117562294006, -0.15280428528785706, -0.10752513259649277, -0.054153453558683395, -0.0943596288561821, -0.01547270454466343, 0.1546308696269989, -0.06325096637010574, -0.06939321011304855, 0.023879526183009148, 0.04227612167596817, -0.09365519881248474, -0.0804138109087944, 0.23798562586307526, -0.03206603601574898, -0.12754511833190918, -0.04591690003871918, 0.03787342086434364, 0.2587432563304901, 0.1397385150194168, -0.08426421880722046, 0.051980093121528625, 0.017264211550354958, 0.07254480570554733, -0.2641317546367645, 0.06845000386238098, 0.1137177050113678, 0.14357925951480865, 0.08483554422855377, 0.08832045644521713, -0.11338283121585846, 0.049387577921152115, 0.17559245228767395, -0.23295894265174866, 0.13036978244781494, 0.04691918194293976, -0.16266490519046783, -0.0706024169921875, -0.002265355084091425, 0.15618592500686646, 0.14463739097118378, -0.09465010464191437, -0.1350952684879303, 0.18365071713924408, -0.11423055827617645, -0.08295358717441559, 0.0956030860543251, -0.160035640001297, -0.26049092411994934, -0.20346124470233917, 0.08645486831665039, 0.3392384350299835, 0.1354978382587433, -0.22715967893600464, 0.022080637514591217, -0.023897772654891014, -0.03151893988251686, 0.11889003217220306, 0.03492758795619011, -0.007021012715995312, -0.01728019304573536, -0.12490805983543396, 0.06866367161273956, 0.15914314985275269, -0.11908945441246033, -0.07973740249872208, 0.25730258226394653, 0.026843154802918434, 0.028656216338276863, 0.105792336165905, 0.028160393238067627, 0.03843938931822777, 0.051702361553907394, -0.11266200244426727, 0.10589595139026642, 0.162673220038414, -0.22612877190113068, -0.03475348278880119, 0.06887182593345642, -0.13392233848571777, 0.17920728027820587, 0.013407864607870579, -0.029676396399736404, -0.06908616423606873, -0.11757087707519531, -0.11959680914878845, 0.05762682110071182, 0.19162686169147491, -0.31719663739204407, 0.16875219345092773, 0.1470431089401245, 0.018919866532087326, 0.14506012201309204, -0.013765322044491768, 0.02545960433781147, 0.09083004295825958, -0.10713796317577362, -0.16982531547546387, -0.0593484491109848, 0.09661012142896652, 0.04753434658050537, -0.03707149997353554, 0.05360465124249458]","(124, 118, 51, 52)",images,
457248664,10,"[-0.19536437094211578, 0.10201695561408997, -0.017219411209225655, 0.03525606542825699, -0.16579225659370422, 0.05624056234955788, -0.042408961802721024, -0.11312837898731232, 0.17346882820129395, -0.04607177525758743, 0.13022606074810028, -0.024882705882191658, -0.2585650086402893, 0.08106573671102524, -0.048125434666872025, 0.04411603510379791, -0.2233591377735138, -0.14129939675331116, -0.01147195789963007, -0.05593691021203995, 0.04911692067980766, 0.034136392176151276, -0.014402489177882671, 0.08955419063568115, -0.22076229751110077, -0.356882244348526, -0.08510992676019669, -0.14907385408878326, 0.04625817760825157, -0.01761886663734913, -0.003801196813583374, 0.016395999118685722, -0.126029834151268, -0.018458500504493713, 0.039402808994054794, 0.13491837680339813, -0.07140768319368362, -0.05884949862957001, 0.2941138744354248, -0.012079060077667236, -0.151340052485466, -0.01909148320555687, 0.05968836322426796, 0.3080415725708008, 0.1607585847377777, 0.017355628311634064, 0.034986305981874466, -0.049426522105932236, 0.13575395941734314, -0.25233936309814453, 0.03617469221353531, 0.24660281836986542, 0.12407565116882324, 0.12873011827468872, -0.0014030453749001026, -0.1455535590648651, 0.04219403862953186, 0.17609454691410065, -0.2557455599308014, 0.08564188331365585, 0.13729575276374817, -0.12257850170135498, 0.06957630813121796, -0.0027050820644944906, 0.24216453731060028, 0.11264263093471527, -0.08715703338384628, -0.12098290771245956, 0.1413821429014206, -0.2466559112071991, -0.08349636197090149, 0.007622476201504469, -0.08165385574102402, -0.270423024892807, -0.24945726990699768, 0.07354969531297684, 0.3546631634235382, 0.258533775806427, -0.09937506169080734, 0.05169691890478134, -0.0551474466919899, -0.06218840554356575, 0.08032810688018799, 0.06172877177596092, -0.11882448196411133, -0.016163500025868416, -0.1128518134355545, 0.034940458834171295, 0.2612200379371643, 0.042645975947380066, 0.03456391394138336, 0.24931441247463226, 0.08918329328298569, -0.006399326957762241, 0.1132650077342987, 0.04842682182788849, -0.13579390943050385, -0.02966778166592121, -0.1253703236579895, 0.06259240210056305, -0.04508857801556587, -0.08732371777296066, 0.10224535316228867, 0.06529753655195236, -0.19846892356872559, 0.17874562740325928, -0.06355279684066772, -0.0745038092136383, -0.09537770599126816, -0.0782993957400322, -0.144287571310997, 0.0028692588675767183, 0.24431055784225464, -0.28270769119262695, 0.1614578813314438, 0.1260724663734436, 0.07581780850887299, 0.2534317374229431, 0.09046516567468643, 0.03636084124445915, -0.026583146303892136, -0.016074752435088158, -0.17291638255119324, -0.06335286796092987, 0.06700332462787628, -0.05241377651691437, 0.08144453912973404, 0.06394261121749878]","(417, 113, 52, 51)",images,
